Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
STARLINK-4075,20:36:55,SSW,15°,20:43:42,ENE,10°
STARLINK-2467,20:37:22,SSW,15°,20:44:30,ENE,10°
STARLINK-4079,20:38:16,SSW,15°,20:45:10,ENE,10°
STARLINK-5404,20:39:05,WNW,15°,20:46:07,SE,12°
STARLINK-4039,20:39:23,SW,15°,20:46:55,NE,10°
STARLINK-3907,20:40:17,NW,14°,20:47:15,SE,14°
STARLINK-3225,20:40:42,SW,14°,20:48:08,ENE,10°
STARLINK-2567,20:40:53,WNW,14°,20:47:54,SE,13°
STARLINK-1284,20:41:17,SW,14°,20:48:53,ENE,10°
STARLINK-4551,20:41:31,NW,14°,20:48:25,ESE,14°
STARLINK-3855,20:41:42,NW,14°,20:48:38,SE,14°
STARLINK-2078,20:42:08,NW,14°,20:49:06,ESE,14°
STARLINK-4037,20:42:09,SSW,14°,20:49:16,ENE,10°
STARLINK-2480,20:42:39,SSW,14°,20:50:04,ENE,10°
STARLINK-4581,20:42:56,NW,14°,20:49:48,ESE,15°
STARLINK-4005,20:44:47,SW,14°,20:52:26,NE,10°
STARLINK-3068,20:45:11,NNW,15°,20:51:57,SE,15°
STARLINK-5458,20:45:16,WNW,20°,20:51:25,SE,14°
STARLINK-3860,20:45:42,NW,13°,20:52:33,SE,15°
STARLINK-3218,20:46:03,SW,13°,20:53:38,ENE,10°
STARLINK-4117,20:46:27,SW,14°,20:54:06,ENE,10°
STARLINK-1258,20:46:39,SW,14°,20:54:24,NE,10°
STARLINK-4547,20:46:55,NW,13°,20:53:44,ESE,16°
STARLINK-1244,20:47:01,WNW,19°,20:53:16,SE,15°
STARLINK-4044,20:47:26,SSW,13°,20:54:51,ENE,10°
STARLINK-3148,20:47:27,SW,13°,20:55:06,ENE,10°
STARLINK-2037,20:47:31,NW,13°,20:54:24,SE,16°
STARLINK-2492,20:47:59,SW,13°,20:55:37,ENE,10°
STARLINK-1736,20:48:05,SSW,13°,20:55:20,ENE,10°
STARLINK-2749,20:49:25,SSW,12°,20:56:46,ENE,10°
SL-8 R/B,20:49:53,SSW,19°,20:59:09,NNE,10°
STARLINK-3083,20:50:42,NNW,14°,20:57:34,SE,16°
STARLINK-3048,20:51:10,NNW,14°,20:58:01,SE,16°
STARLINK-3143,20:51:24,SW,13°,20:59:09,NE,10°
STARLINK-3863,20:51:45,WNW,18°,20:57:50,SE,17°
STARLINK-1292,20:52:04,SW,13°,20:59:56,NE,10°
STARLINK-2067,20:52:11,NW,18°,20:58:20,SE,17°
STARLINK-1138,20:52:32,WNW,19°,20:58:30,SE,16°
STARLINK-4070,20:52:47,SSW,12°,21:00:24,ENE,10°
STARLINK-4583,20:52:57,NW,17°,20:59:01,ESE,18°
STARLINK-2493,20:53:20,SW,12°,21:01:09,ENE,10°
STARLINK-1714,20:53:22,SSW,12°,21:00:54,ENE,10°
STARLINK-1983,20:53:30,NW,18°,20:59:35,SE,18°
STARLINK-3865,20:54:26,NW,19°,21:00:17,ESE,17°
STARLINK-3047,20:54:34,NNW,13°,21:01:26,SE,17°
STARLINK-2692,20:54:46,SSW,12°,21:02:20,ENE,10°
STARLINK-1417,20:54:56,NW,18°,21:00:56,ESE,18°
STARLINK-3903,20:55:51,NW,18°,21:01:39,ESE,18°
STARLINK-3244,20:56:48,SW,12°,21:04:43,NE,10°
STARLINK-3091,20:57:09,NNW,13°,21:03:59,SE,18°
STARLINK-3885,20:57:18,WNW,18°,21:03:09,SE,18°
STARLINK-1274,20:57:27,SW,12°,21:05:27,NE,10°
STARLINK-4042,20:58:06,SW,11°,21:05:55,ENE,10°
STARLINK-4550,20:58:25,NW,17°,21:04:17,SE,20°
COSMOS 2151,20:58:28,N,14°,21:05:43,SSE,14°
RESURS P1,20:58:39,SSE,17°,21:04:18,N,10°
