Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
STARLINK-4783,10:11:03,SW,13°,10:18:42,NNE,10°
STARLINK-4064,10:11:49,NW,10°,10:19:47,SSE,10°
COSMOS 1703,10:12:34,SSW,11°,10:20:00,N,10°
STARLINK-1887,10:13:04,SW,12°,10:20:53,NNE,10°
STARLINK-3347,10:13:34,NW,14°,10:21:12,SE,10°
STARLINK-1107,10:14:32,SW,14°,10:22:15,NE,10°
STARLINK-1730,10:15:26,NW,12°,10:23:18,SSE,10°
STARLINK-4761,10:16:06,SW,10°,10:24:12,NNE,10°
STARLINK-2060,10:17:08,SSW,10°,10:24:07,NE,10°
STARLINK-3352,10:17:51,SSW,13°,10:25:33,NE,10°
STARLINK-1877,10:18:45,WSW,13°,10:26:19,NNE,10°
STARLINK-1066,10:19:30,SW,10°,10:27:45,NE,10°
STARLINK-4771,10:22:02,SW,13°,10:29:40,NNE,10°
STARLINK-3460,10:22:51,SW,10°,Dawn,–,–°
STARLINK-4075,10:23:34,WNW,14°,Dawn,–,–°
STARLINK-1070,10:24:08,SW,14°,Dawn,–,–°
STARLINK-1852,10:25:31,SW,13°,Dawn,–,–°
